True_rho,NoDear
1.691217670924212,3.7404892
8.737957966441762,9.225048
3.382435341848424,0.41547737
4.5099137891312315,1.263282
1.1274784472828079,2.023414
4.791783400951934,0.6274827
3.100565730027722,0.9739982
7.328609907338252,0.6390767
5.63739223641404,4.86875
4.791783400951934,1.4456537
3.382435341848424,0.29700774
5.355522624593338,2.449417
1.40934805910351,0.99686885
5.355522624593338,1.7922833
4.791783400951934,5.538367
1.9730872827449137,1.4813352
2.536826506386318,0.69716465
1.691217670924212,1.0743178
3.9461745654898275,1.3651787
2.81869611820702,1.1615582
2.81869611820702,1.0846043
3.9461745654898275,1.5308582
2.81869611820702,1.156767
4.791783400951934,25.852001
5.073653012772636,7.8619246
6.201131460055444,29.080345
7.328609907338252,5.2320237
4.791783400951934,0.77044713
1.1274784472828079,1.1633446
3.664304953669126,0.7355766
5.919261848234742,2.223597
3.382435341848424,2.4471548
5.63739223641404,3.3341038
5.073653012772636,1.6520338
6.764870683696848,51.981487
1.1274784472828079,0.86088926
4.791783400951934,1.12473
0.845608835462106,0.61383367
1.1274784472828079,0.69623905
1.691217670924212,3.0675213
13.247871755572993,10.333867
56.3739223641404,54.902977
30.441918076635815,37.879383
24.24078661658037,5.753298
31.56939652391862,55.59507
34.38809264212564,107.61112
57.2195311996025,131.24448
25.932004287504583,48.522198
5.919261848234742,3.6909366
45.38100750313302,13.042267
27.623221958428793,5.962501
43.68978983220881,193.44489
54.11896546957478,26.581285
37.48865837215336,58.020992
65.67561955422356,83.499565
50.45466051590565,38.599186
12.684132531931589,7.597253
35.515571089408446,119.877556
19.449003215628437,24.500536
9.86543641372457,21.445496
46.79035556223653,162.03238
61.165705765092326,119.816696
9.019827578262463,2.4054158
40.30735449036038,26.520521
16.348437485600716,8.211805
56.9376615877818,86.35737
13.811610979214397,14.525257
50.45466051590565,650.34955
57.2195311996025,54.65384
83.15153548710708,633.2156
52.70961741047127,6.547892
49.89092129226425,18.176981
64.26627149512005,646.8174
36.64304953669126,15.646265
49.89092129226425,17.109848
30.441918076635815,35.849598
22.83143855747686,4.240073
61.72944498873373,72.327446
50.172790904084955,6.818651
34.38809264212564,30.69054
296.80870124719917,438.82437
663.8029358377531,56.120735
81.46031781618287,157.5467
308.6472249436687,845.7803
335.98857729027674,185.58174
369.812930708761,189.81029
491.58060301530423,400.55908
622.0862332882892,177.34842
276.5140891961086,86.420525
342.7534479739736,66.216034
241.5622573303416,67.457664
120.35832424743974,96.95352
189.41637914351173,85.3779
100.0637121963492,145.45961
570.2222247132801,145.32745
200.4092940045191,136.81186
304.13731115453743,465.05634
284.40643832708827,109.53788
407.86532830455576,84.63551
675.0777203105812,155.09181
526.814304492892,253.51266
427.3143315201842,124.388596
338.52540379666306,204.24597
331.47866350114555,66.44898
270.5948273478739,69.69172
357.41066778865013,593.1241
202.94612051090542,267.02933
397.9998918908312,44.297577
599.8185339544538,391.93945
431.260506085674,129.45886
397.4361526671898,63.409664
199.28181555723629,66.23315
162.63876602054503,531.7037
321.89509669924166,157.66643
103.72801715001833,155.9166
356.565058953188,288.95673
178.14159467068365,107.12905
125.15010764839168,377.8967
417.73076471828034,81.347435
138.67984901578538,55.695347
