List,-13 to -12,-12 to -11,-11 to -10,-10 to -9,-9 to -8,-8 to -7
conversion,Mean:1.46232 Variance:0.05528,Mean:1.50701 Variance:0.05622,Mean:1.70013 Variance:0.05309,Mean:1.97181 Variance:0.01931,Mean:2.05889 Variance:0.00391,Mean:2.06613 Variance:0.00218
Equilibrium,Mean:1.45548 Variance:0.05606,Mean:1.48858 Variance:0.04819,Mean:1.5816 Variance:0.05597,Mean:1.831 Variance:0.04547,Mean:2.02385 Variance:0.00921,Mean:2.06348 Variance:0.00262
