label,x,y,plot_type,plot_num
FIN,0.0,31861.559982151128,path,9
FIN,1450.0,31861.559982151128,path,9
FIN,1564.853780314423,32648.28093839702,path,9
FIN,1688.8050715616143,33325.362048932606,path,9
FIN,1822.5744830671463,33840.670963272634,path,9
FIN,1966.9397032636061,34141.36205454217,path,9
FIN,2122.7400208983313,34189.579835148164,path,9
FIN,2290.881204363773,34095.91289731596,path,9
FIN,2472.3407675171798,33912.72389675251,path,9
FIN,2668.1736526032546,33660.33036390186,path,9
FIN,2879.5183633183065,33358.99667341326,path,9
FIN,3107.6035836713463,32929.086084043665,path,9
FIN,3353.7553211219,32184.877493150547,path,9
FIN,3619.404615522219,31215.428720848027,path,9
FIN,3906.095858680976,30118.457729392354,path,9
FIN,4215.495772915474,28979.924537473304,path,9
FIN,4549.403100790515,27638.85557529532,path,9
FIN,4909.759062376686,26079.819088305412,path,9
FIN,5298.658640822866,24447.50668940084,path,9
FIN,5718.362761853337,22860.926308963015,path,9
FIN,6171.311437996842,21369.77151512207,path,9
FIN,6660.137953963446,19822.074254710762,path,9
FIN,7187.684175638114,18321.912144883234,path,9
FIN,7757.017071692042,16984.767555161976,path,9
FIN,8371.446543862627,15893.156830152198,path,9
FIN,9034.544669561064,14993.0688012661,path,9
FIN,9750.166468677346,14160.022340422176,path,9
FIN,10522.472315313562,13453.607881675418,path,9
FIN,11355.952124739508,12924.156702899514,path,9
FIN,12255.451456184981,12612.544314467623,path,9
FIN,13226.199683221352,12441.900290963744,path,9
FIN,14273.840395505074,12326.88797607444,path,9
FIN,15404.464208628164,12216.237965528819,path,9
FIN,16624.644172820696,12060.724625936198,path,9
FIN,17941.473986359044,11791.929629886363,path,9
FIN,19362.60923583919,11345.238956776013,path,9
FIN,20896.31190307166,10812.828544062486,path,9
FIN,22551.49839734549,10191.743108458631,path,9
FIN,24337.79139230396,9420.30079725348,path,9
FIN,26265.57576879357,8569.209565025329,path,9
FIN,28346.058988918296,7699.808167561717,path,9
FIN,30591.3362522927,6859.392449815516,path,9
FIN,33014.460813289574,6080.810333029924,path,9
FIN,35629.51986808178,5384.071033739758,path,9
FIN,38451.71645265904,4779.000522779284,path,9
FIN,41497.45782794606,4268.190598723738,path,9
FIN,44784.450865861894,3849.766756537659,path,9
FIN,48331.80499086172,3519.75450688542,path,9
FIN,52160.14327542721,3274.018495193665,path,9
FIN,56291.722335375314,3109.883632260708,path,9
FIN,60750.561722015096,3027.644365679293,path,9
FIN,65562.58356339311,3058.6987885051635,path,9
FIN,70755.76326645236,3316.9698616579562,path,9
FIN,76360.29215623473,3773.5579040650227,path,9
FIN,82408.7529976536,4369.934775282641,path,9
FIN,88936.30942025916,5012.214510571919,path,9
FIN,95980.91034724536,5808.589558413113,path,9
FIN,103583.51061717697,6823.404877942571,path,9
FIN,111788.30908105413,8038.28350736178,path,9
FIN,120643.00555892738,9438.20099410066,path,9
FIN,130199.07814991826,11193.767474419634,path,9
FIN,140512.0825078294,13263.578048781426,path,9
FIN,151641.97482222677,15465.23655062525,path,9
FIN,163653.46038269388,17500.172769271463,path,9
FIN,176616.36975268633,19585.325443462138,path,9
FIN,190606.0647399318,21756.983431234796,path,9
FIN,205703.8765235434,23748.459527847583,path,9
FIN,221997.57848496427,25213.34828643044,path,9
FIN,239581.89649161667,25912.355908162604,path,9
FIN,258559.05959986566,26419.72732959628,path,9
FIN,279039.394378891,26817.35941167001,path,9
FIN,301141.96631065814,27067.399932878798,path,9
FIN,324995.2719948635,27125.17433278435,path,9
FIN,350737.9861830871,26710.931253388873,path,9
FIN,378519.76798515295,25905.330912869373,path,9
FIN,408502.130934693,24983.05789290715,path,9
FIN,440859.3819721737,24141.63968914288,path,9
FIN,475779.63480430085,23204.80101065605,path,9
FIN,513465.90353112126,22274.36155075796,path,9
FIN,554137.2828987833,21502.994149660095,path,9
FIN,598030.2220395339,20776.894283531532,path,9
FIN,645399.8991040258,20191.89985114733,path,9
FIN,696521.7047775738,19953.08061038174,path,9
FIN,751692.8433049882,19857.785820095392,path,9
FIN,811234.0603317987,19803.64161699313,path,9
FIN,875491.50760692,19796.872784892836,path,9
FIN,944838.7553874912,19806.187524031662,path,9
FIN,1019678.9642453034,19815.06879698179,path,9
FIN,1100447.228900937,19790.987033180587,path,9
FIN,1187613.107711836,19692.515995791706,path,9
FIN,1281683.3525198807,19616.229312212403,path,9
FIN,1383204.8547288266,19637.287850871035,path,9
FIN,1492767.8247390788,19726.44161368774,path,9
FIN,1611009.2232239214,19859.99067232632,path,9
FIN,1738616.4641954175,20226.248965316317,path,9
FIN,1876331.4113883413,20859.81959034995,path,9
FIN,2024954.691195685,21294.50870781107,path,9
FIN,2185350.34722965,21174.294701922336,path,9
FIN,2358450.8635681067,20619.306134270937,path,9
FIN,2545262.5858899085,19707.757632942757,path,9
FIN,2746871.5720156436,18523.42691318875,path,9
